timestamp,value,label
0,-0.028302268554850192,0
60,0.01905188273039295,0
120,0.06429998141539717,0
180,0.16373780134938462,0
240,0.011400849962336231,0
300,-0.024268579241959312,0
360,-0.11741455443543794,0
420,0.04307979592537116,0
480,-0.038981943601496566,0
540,-0.04827816042025908,0
600,0.05263950992220605,0
660,0.1590376939601251,0
720,-0.001081562729890094,0
780,-0.02059833150568761,0
840,0.15453906009970989,0
900,0.09063283602352508,0
960,-0.02558515765841611,0
1020,0.08812378246396103,0
1080,0.11162337030618466,0
1140,0.18678624548998946,0
1200,0.2721431204661918,0
1260,0.17031975550560755,0
1320,0.17675920181262833,0
1380,0.23058959766752257,0
1440,0.18711160666737464,0
1500,0.17331069266525004,0
1560,1.2050978257787308,1
1620,1.1691490324995777,1
1680,1.1392719542226695,1
1740,1.1530716000314707,1
1800,1.0983937150478944,1
1860,1.1647123580271164,1
1920,1.2071489302477236,1
1980,1.2481659918760117,1
2040,1.201922190942219,1
2100,1.1413622713004443,1
2160,0.31336755915474784,0
2220,0.3658971330644544,0
2280,0.2928438857149346,0
2340,0.2713831405665924,0
2400,0.28810253711965783,0
2460,0.22957324258043627,0
2520,0.39091220874872773,0
2580,0.3149719524721476,0
2640,0.9217951260265347,1
2700,0.7534185756959987,1
2760,0.843037995986563,1
2820,0.8713779526298906,1
2880,0.888203009225825,1
2940,0.8277342424392025,1
3000,0.9336900102396908,1
3060,0.9326444994640446,1
3120,0.9674348572215767,1
3180,1.7170180237253838,1
3240,0.2930918897600844,0
3300,0.44857741527236594,0
3360,0.36446074405344253,0
3420,0.37770044169410344,0
3480,0.423328196981804,0
3540,0.3326039609272011,0
3600,0.4309755389749018,0
3660,0.46574377441401843,0
3720,0.4801969525659142,0
3780,0.45245580363861726,0
3840,0.4141124280303009,0
3900,0.42388134066950905,0
3960,0.49319243499042187,0
4020,0.5045433696766612,0
4080,0.4413323870615671,0
4140,0.5393493071783293,0
4200,0.39282075485636736,0
4260,0.5146523826347883,0
4320,0.4931163672330341,0
4380,0.47766833963625915,0
4440,0.4885666070891438,0
4500,0.47535166128369677,0
4560,0.4972728050245921,0
4620,1.7170180237253838,1
4680,0.42185004824854544,0
4740,0.5636977141461088,0
4800,0.6139053722412552,0
4860,0.4579514979146963,0
4920,0.5997473013923276,0
4980,0.568368074725844,0
5040,0.6077686009622755,0
5100,0.6290720512288656,0
5160,0.6027122028483783,0
5220,0.4806571263123684,0
5280,0.4261554990615316,0
5340,0.5539245759283078,0
5400,0.6493297478590527,0
5460,0.5765733656438459,0
5520,0.5096543360874031,0
5580,0.6242579181975043,0
5640,0.5787356933398604,0
5700,0.6111005387757596,0
5760,0.5356834524130453,0
5820,0.5930374065856207,0
5880,0.5848670766009448,0
5940,0.568479927821496,0
6000,0.7349326868723574,0
6060,0.842005100938368,0
6120,0.5793745543147597,0
6180,1.7170180237253838,1
6240,0.49611282541473456,0
6300,0.7191954446715368,0
6360,0.7478923336185722,0
6420,0.8150318568783184,0
6480,0.6556678553315505,0
6540,0.7533179033676849,0
6600,0.5666945251075561,0
6660,0.7720471009661947,0
6720,0.7464895195773035,0
6780,0.6659008268978216,0
6840,0.7981472455021495,0
6900,0.5998113309782236,0
6960,0.71083279250328,0
7020,0.6435952337498878,0
7080,0.7655633065020477,0
7140,0.8116398756923433,0
7200,0.778927799638161,0
7260,0.7410320005512521,0
7320,1.7170180237253838,1
7380,0.8828158030412732,0
7440,0.7670082306497867,0
7500,0.5689401870800332,0
